country code,zip,place name,admin name1,admin code1,admin name2,admin code2,admin name3,admin code3,lat,lon,accuracy
CH,8130,Zumikon Yves Rocher SA,Kanton Z’_rich,ZH,Bezirk Meilen,107,Zumikon,160,47.3167,8.5167,4
CH,8618,Oetwil am See,Kanton Z’_rich,ZH,Bezirk Meilen,107,Oetwil am See,157,47.2746,8.7182,6
CH,8634,Hombrechtikon,Kanton Z’_rich,ZH,Bezirk Meilen,107,Hombrechtikon,153,47.2551,8.7659,6
CH,8700,K’_snacht ZH,Kanton Z’_rich,ZH,Bezirk Meilen,107,K’_snacht (ZH),154,47.3196,8.5899,6
CH,8702,Zollikon,Kanton Z’_rich,ZH,Bezirk Meilen,107,Zollikon,161,47.3411,8.5751,6
CH,8703,Erlenbach ZH,Kanton Z’_rich,ZH,Bezirk Meilen,107,Erlenbach (ZH),151,47.3019,8.5914,6
CH,8704,Herrliberg,Kanton Z’_rich,ZH,Bezirk Meilen,107,Herrliberg,152,47.2943,8.6262,6
CH,8706,Meilen,Kanton Z’_rich,ZH,Bezirk Meilen,107,Meilen,156,47.2778,8.6376,6
CH,8707,Uetikon am See,Kanton Z’_rich,ZH,Bezirk Meilen,107,Uetikon am See,159,47.2695,8.679,6
CH,8708,M’_nnedorf,Kanton Z’_rich,ZH,Bezirk Meilen,107,M’_nnedorf,155,47.2521,8.6924,6
CH,8712,St’_fa,Kanton Z’_rich,ZH,Bezirk Meilen,107,St’_fa,158,47.2407,8.7253,6
CH,8713,Uerikon,Kanton Z’_rich,ZH,Bezirk Meilen,107,St’_fa,158,47.2282,8.7551,6
CH,8714,Feldbach,Kanton Z’_rich,ZH,Bezirk Meilen,107,Hombrechtikon,153,47.2358,8.7868,6
CH,8307,Effretikon,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Illnau-Effretikon,174,47.4248,8.6903,6
CH,8307,Ottikon b. Kemptthal,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Illnau-Effretikon,174,47.4308,8.7246,6
CH,8308,Illnau,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Illnau-Effretikon,174,47.4089,8.7202,6
CH,8308,Agasul,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Illnau-Effretikon,174,47.4214,8.7424,6
CH,8310,Kemptthal,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Lindau,176,47.4601,8.7122,6
CH,8310,Grafstal,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Lindau,176,47.4438,8.6985,6
CH,8312,Winterberg ZH,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Lindau,176,47.4574,8.6901,6
CH,8314,Kyburg,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Kyburg,175,47.4526,8.7464,6
CH,8315,Lindau,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Lindau,176,47.4439,8.6778,6
CH,8317,Tagelswangen,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Lindau,176,47.4267,8.669,6
CH,8320,Fehraltorf,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Fehraltorf,172,47.3875,8.7505,6
CH,8322,Madetswil,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Russikon,178,47.4121,8.7932,6
CH,8322,G’_ndisau,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Russikon,178,47.4003,8.8053,6
CH,8325,Effretikon Dist Ba,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Illnau-Effretikon,174,47.3833,8.75,4
CH,8330,Hermatswil,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Pf’_ffikon,177,47.3946,8.8278,6
CH,8330,Pf’_ffikon ZH,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Pf’_ffikon,177,47.3637,8.7894,6
CH,8331,Auslikon,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Pf’_ffikon,177,47.346,8.8087,6
CH,8332,Russikon,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Russikon,178,47.3943,8.7836,6
CH,8332,Rumlikon,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Russikon,178,47.4083,8.7613,6
CH,8335,Hittnau,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Hittnau,173,47.3672,8.8296,6
CH,8484,Weisslingen,Kanton Z’_rich,ZH,Bezirk Pf’_ffikon,108,Weisslingen,180,47.4359,8.7722,6
